code,name,sector,price,high12m,yield,score,ng_count,ng_items,in_model_pf,prices_updated_at
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,J-REIT市場,1895.0,2180,4.9,10.0,0,,1,2026-09-15 21:44
1414,ショーボンドホールディングス,建設業,1264.0,1470,3.68,8.5,0,,0,2026-09-15 21:44
1928,積水ハウス,建設業,3342.0,3826,4.37,8.5,0,,1,2026-09-15 21:44
1951,エクシオグループ,建設業,2556.5,2993,3.13,6.5,2,配当利回り／営業利益率,0,2026-09-15 21:44
2003,日東富士製粉,食料品,1900.0,1860,3.68,6.5,2,営業利益率／EPSの推移,1,2026-09-15 21:44
2124,ジェイエイシーリクルートメント,サービス業,1015.0,1106,3.74,8.0,1,配当性向,0,2026-09-15 21:44
2169,ＣＤＳ,サービス業,1725.0,1837,4.29,6.5,1,配当性向,1,2026-09-15 21:44
2296,伊藤ハム米久ホールディングス,食料品,5010.0,6450,3.08,6.5,2,配当利回り／営業利益率,0,2026-09-15 21:44
2393,日本ケアサプライ,サービス業,4375.0,4310,1.69,5.5,3,配当利回り／流動比率／営業キャッシュフロー,0,2026-09-15 21:44
2659,サンエー,小売業,3425.0,3365,3.21,7.0,2,配当利回り／営業利益率,1,2026-09-15 21:44
3003,ヒューリック,不動産業,1733.0,2069,3.86,7.5,2,自己資本比率／流動比率,1,2026-09-15 21:44
3076,あい　ホールディングス,卸売業,2967.0,2988,4.73,9.0,0,,1,2026-09-15 21:44
3231,野村不動産ホールディングス,不動産業,906.3,1162,4.86,8.0,2,自己資本比率／営業キャッシュフロー,1,2026-09-15 21:44
3333,あさひ,小売業,1312.0,1403,3.81,7.0,2,営業利益率／EPSの推移,1,2026-09-15 21:44
3817,ＳＲＡホールディングス,情報・通信業,4770.0,5620,5.03,9.5,0,,1,2026-09-15 21:44
3834,朝日ネット,情報・通信業,606.0,710,4.13,9.0,0,,0,2026-09-15 21:44
3844,コムチュア,情報・通信業,1353.0,1710,3.85,9.5,0,,1,2026-09-15 21:44
3901,マークラインズ,情報・通信業,1525.0,2067,3.41,8.0,1,配当利回り,1,2026-09-15 21:44
4008,住友精化,化学,1454.0,1522,4.82,8.0,0,,1,2026-09-15 21:44
4042,東ソー,化学,2561.0,2927,3.91,6.0,2,1株配当の推移／営業キャッシュフロー,0,2026-09-15 21:44
4097,高圧ガス工業,化学,1194.0,1242,3.34,7.5,2,配当利回り／営業利益率,1,2026-09-15 21:44
4206,アイカ工業,化学,4151.0,4151,3.47,8.0,1,配当利回り,1,2026-09-15 21:44
4248,竹本容器,化学,881.0,893,4.31,6.5,1,営業利益率,0,2026-09-15 21:44
4290,プレステージ・インターナショナル,サービス業,696.0,728,4.03,9.0,0,,1,2026-09-15 21:44
4345,シーティーエス,サービス業,844.0,1048,3.54,9.0,0,,0,2026-09-15 21:44
4540,ツムラ,医薬品,3766.0,4190,4.2,9.0,0,,1,2026-09-15 21:44
4641,アルプス技研,サービス業,866.0,931,4.15,8.5,0,,1,2026-09-15 21:44
4674,クレスコ,情報・通信業,1795.0,2058,3.9,9.5,0,,1,2026-09-15 21:44
4719,アルファシステムズ,情報・通信業,3280.0,4155,4.27,8.0,1,1株配当の推移,0,2026-09-15 21:44
4746,東計電算,情報・通信業,7230.0,7150,2.7,7.0,2,配当利回り／流動比率,1,2026-09-15 21:44
4752,昭和システムエンジニアリング,情報・通信業,1595.0,1750,3.83,9.5,0,,0,2026-09-15 21:44
4832,ＪＦＥシステムズ,情報・通信業,1912.0,2401,3.65,8.0,0,,0,2026-09-15 21:44
4958,長谷川香料,化学,3395.0,3360,2.95,8.5,1,配当利回り,1,2026-09-15 21:44
5108,ブリヂストン,ゴム製品,3740.0,4145,3.47,7.5,1,配当利回り,1,2026-09-15 21:44
5388,クニミネ工業,ガラス・土石製品,1360.0,1368,3.67,8.0,1,1株配当の推移,0,2026-09-15 21:44
5982,マルゼン,金属製品,4125.0,4145,3.03,8.5,1,配当利回り,1,2026-09-15 21:44
6345,アイチ　コーポレーション,機械,1443.0,1479,4.5,8.5,0,,1,2026-09-15 21:44
6432,竹内製作所,機械,7180.0,7620,3.05,9.0,1,配当利回り,0,2026-09-15 21:44
6785,鈴木,電気機器,3030.0,3430,3.7,8.0,1,1株配当の推移,1,2026-09-15 21:44
